firstpost_date,content
04-03-2015,Here's what I want to see to buy shares of $TWTR http://t.co/5x4SmMeQ1U
20-03-2015,NICE TRADER HOUSE! https://t.co/j8r0U5Idyf get inspired $FB $TWTR $LNKD you can have this too if you work &amp; study hard! #dailyinspiration
07-03-2015,"http://t.co/fAXz15icHR New http://t.co/rKxbH2lQp0 play, learn the pattern $FB $TWTR peeps!"
07-03-2015,$TWTR been holding up right below symmetrical triangle  another push and could be a strong move next week.
02-03-2015,http://t.co/rRVgk90zCr 1st http://t.co/fljCJMRjtQ alert of the week $FB $TWTR $STUDY
04-03-2015,"5 new FREE videos on https://t.co/AcxSN7Z2HL the past 5 days, go watch &amp; enjoy $FB $TWTR $LNKD $STUDY"
12-03-2015,"Cool to know http://t.co/GWKcbrWoOy &amp; http://t.co/KjhfrKi2RX are alive &amp; well, how great is that $FB $TWTR $LNKD peeps!"
10-03-2015,Twitter bypasses China ban with Hong Kong office http://t.co/vqthWZ50WH $TWTR
12-03-2015,"Clarification: Alibaba $BABA plans investment in SnapChat at $15B valuation - Bloomberg reports.  Related: $FB, $TWTR"
07-03-2015,"CRAZY I now have nearly 200,000 people following me on Instagram here https://t.co/Y9Qt7jpJle glad I can inspire $TWTR"
03-03-2015,"PRICELESS! https://t.co/JmOnOAViKV just an amazing opportunity, get inspired $FB $TWTR $LNKD peeps! $STUDY"
11-03-2015,I LOVED doing this https://t.co/JmOnOAViKV give to others in 2015 $FB $TWTR $LNKD peeps! Go $STUDY
05-03-2015,"http://t.co/ITfqW8WuQ1 New http://t.co/fljCJMRjtQ trade alert, learn the pattern $FB $TWTR peeps!"
20-03-2015,"Ladies and Gentlemen, This Now Exists: Release Tomorrow AM  Compare ANY Companies in 1/2 Second:  Ex: $TWTR vs $FB http://t.co/ZlbKwi5qsZ"
11-03-2015,"Whenever you feel overwhelmed by work/study, look through http://t.co/BlZoIOAItV &amp; http://t.co/QCH3DQJ3sG &amp; get motivated $FB $TWTR $LNKD"
